Date,Distance,Time,HR
2023-12-30,5863.0,2542,160.0
2023-11-26,8513.0,3077,157.0
2023-11-23,7366.0,2772,153.0
2023-11-19,12271.0,4646,152.0
2023-11-17,8110.0,3006,151.0
2023-11-11,2483.0,889,168.0
2023-11-11,4954.0,1363,186.0
2023-11-09,12898.0,4672,155.0
2023-11-06,7828.0,2793,155.0
2023-11-04,14495.0,4880,163.0
2023-11-01,7447.0,2749,152.0
2023-10-30,8140.0,2976,146.0
2023-10-27,8862.0,3297,150.0
2023-10-23,7070.0,2590,144.0
2023-10-21,1664.0,580,157.0
2023-10-21,4989.0,1542,167.0
2023-10-17,7957.0,3046,145.0
2023-10-15,7861.0,2817,153.0
2023-10-14,614.0,219,168.0
2023-10-14,4944.0,1407,185.0
2023-10-14,1263.0,392,165.0
2023-10-10,11581.0,4219,151.0
2023-10-09,8015.0,3053,149.0
2023-10-05,6911.0,2747,151.0
2023-09-28,7115.0,2728,148.0
2023-09-23,1243.0,509,159.0
2023-09-23,9911.0,2907,184.0
2023-09-23,1870.0,636,162.0
2023-09-22,7021.0,2429,163.0
2023-09-21,8003.0,2937,160.0
2023-09-19,7108.0,2696,156.0
2023-09-18,5467.0,3157,136.0
2023-09-14,9379.0,3329,160.0
2023-09-11,5607.0,1961,161.0
2023-09-11,2665.0,907,154.0
2023-09-09,4979.0,1553,178.0
2023-09-08,7520.0,2655,158.0
2023-09-06,7619.0,2753,156.0
2023-09-03,8202.0,3084,147.0
2023-08-20,6823.0,2610,137.0
2023-08-18,13737.0,4148,172.0
2023-08-17,11379.0,3898,146.0
2023-08-16,9260.0,3219,147.0
2023-08-15,12287.0,3672,168.0
2023-08-14,10413.0,3642,144.0
2023-08-12,11684.0,3509,166.0
2023-08-11,8326.0,2930,144.0
2023-08-10,9556.0,3310,145.0
2023-08-09,10347.0,3818,139.0
2023-08-08,11507.0,3484,161.0
2023-08-07,12325.0,4561,133.0
2023-08-04,12980.0,4038,164.0
2023-08-03,10187.0,3572,147.0
2023-08-02,5829.0,2082,143.0
2023-08-01,10528.0,3078,172.0
2023-07-31,12879.0,4615,150.0
2023-07-28,9058.0,3008,159.0
2023-07-27,9146.0,3358,147.0
2023-07-25,6567.0,2015,156.0
2023-07-24,9105.0,3460,140.0
2023-07-21,10653.0,3277,164.0
2023-07-20,7275.0,2734,134.0
2023-07-19,11580.0,4068,139.0
2023-07-18,7723.0,2270,167.0
2023-07-18,2497.0,791,147.0
2023-07-17,10564.0,3794,140.0
2023-07-15,11605.0,3615,164.0
2023-07-14,9128.0,3167,149.0
2023-07-13,9224.0,3465,138.0
2023-07-10,8078.0,3071,141.0
2023-07-08,12255.0,3587,166.0
2023-07-06,8658.0,3206,154.0
2023-07-05,8657.0,2986,143.0
2023-07-04,7398.0,2429,157.0
2023-07-03,9562.0,3395,144.0
2023-06-30,9701.0,3113,160.0
2023-06-29,8934.0,3173,142.0
2023-06-28,8983.0,3193,145.0
2023-06-27,10612.0,3344,166.0
2023-06-27,2835.0,908,151.0
2023-06-26,8002.0,2851,142.0
2023-06-25,9623.0,3400,140.0
2023-06-23,8447.0,2993,153.0
2023-06-21,9332.0,3336,146.0
2023-06-20,10524.0,3339,162.0
2023-06-19,8511.0,3162,140.0
2023-06-16,6678.0,2127,172.0
2023-06-16,2815.0,988,145.0
2023-06-15,7674.0,2775,144.0
2023-06-14,14217.0,5314,150.0
2023-06-12,11430.0,3716,165.0
2023-06-11,9678.0,3649,134.0
2023-06-07,6885.0,2576,141.0
2023-06-06,9227.0,3321,156.0
2023-06-04,8554.0,3059,147.0
2023-06-02,11367.0,3809,164.0
2023-06-01,6520.0,2177,154.0
2023-05-30,9599.0,3027,161.0
2023-05-29,8611.0,3056,148.0
2023-05-24,9391.0,2993,162.0
2023-05-23,9734.0,3392,146.0
2023-05-20,11831.0,4009,163.0
2023-05-18,9583.0,3050,162.0
2023-05-17,10397.0,3739,151.0
2023-05-15,6665.0,2594,140.0
2023-05-14,10135.0,3376,160.0
2023-05-12,8067.0,2931,141.0
2023-05-11,8999.0,2980,162.0
2023-05-10,10932.0,3855,156.0
2023-05-07,10169.0,3380,172.0
2023-05-05,9540.0,3271,155.0
2023-05-03,9793.0,3653,151.0
2023-05-02,9393.0,3459,150.0
2023-04-29,8781.0,3069,163.0
2023-04-28,9290.0,3432,155.0
2023-04-25,8593.0,3052,167.0
2023-04-23,11461.0,4139,166.0
2023-04-21,8541.0,3135,165.0
2023-04-19,9268.0,3732,153.0
2023-04-13,3854.0,1562,151.0
2023-04-13,3692.0,1503,152.0
2023-04-12,2941.0,1255,155.0
2023-04-12,4242.0,1777,149.0
2023-04-11,8256.0,3348,157.0
2023-04-09,8897.0,3608,156.0
2023-04-05,5480.0,2099,163.0
2023-04-02,6010.0,2482,168.0
2023-02-24,9375.0,3214,
2023-02-22,9410.0,3286,
2023-02-20,5411.0,1834,
2023-02-18,7065.0,2362,
2023-02-15,4007.0,1425,
2023-02-13,5430.0,1858,
2023-02-10,5413.0,1996,
2023-02-06,5374.0,1954,
2023-02-06,5374.0,1954,
2023-02-06,5374.0,1954,
2023-02-01,5455.0,1977,
2023-01-30,5429.0,2015,
2023-01-03,1042.0,337,
